City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,bredasdorp,-34.53,20.04,46.4,100,0,4.7,ZA,1593565905
88,jos,9.92,8.9,64.8,88,76,2.8,NG,1593565974
89,korla,41.76,86.15,73.31,21,29,15.99,CN,1593565949
90,eyl,7.98,49.82,81.91,63,99,26.46,SO,1593565915
91,nouadhibou,20.93,-17.03,70.02,80,0,12.75,MR,1593565977
92,cidreira,-30.18,-50.21,60.58,79,25,25.66,BR,1593565915
93,bengkulu,-3.8,102.27,78.44,74,94,3.0,ID,1593565939
94,vila franca do campo,37.72,-25.43,66.99,88,75,5.82,PT,1593565977
95,jackson,42.42,-122.83,78.8,31,1,11.41,US,1593565736
96,kysyl-syr,63.9,122.76,84.58,36,0,5.37,RU,1593565978
97,bambous virieux,-20.34,57.76,66.0,93,20,3.36,MU,1593565933
98,chingirlau,51.09,54.08,49.62,88,0,10.0,KZ,1593565978
99,cuiluan,47.72,128.65,78.26,53,0,2.46,CN,1593565978
100,araouane,18.9,-3.53,91.45,32,5,15.55,ML,1593565934
101,praia,14.92,-23.51,77.0,65,75,13.87,CV,1593565916
102,springfield,37.22,-93.3,86.0,70,1,9.17,US,1593565978
103,klaksvik,62.23,-6.59,44.6,81,100,9.17,FO,1593565917
104,breves,-1.68,-50.48,73.99,95,75,2.73,BR,1593565979
105,lamu,-2.27,40.9,77.31,80,96,17.96,KE,1593565979
106,novobureyskiy,49.8,129.88,74.43,68,0,3.98,RU,1593565979
107,kaitangata,-46.28,169.85,46.0,69,100,11.01,NZ,1593565931
108,irece,-11.3,-41.86,67.66,83,1,11.16,BR,1593565979
109,ahuimanu,21.44,-157.84,87.8,61,20,13.87,US,1593565979
110,hobart,-42.88,147.33,50.0,76,20,8.05,AU,1593565751
111,castro,-24.79,-50.01,59.94,93,91,12.37,BR,1593565916
112,mahibadhoo,3.78,72.97,83.53,70,80,6.04,MV,1593565979
113,albemarle,35.35,-80.2,75.0,88,40,5.57,US,1593565854
114,mangaratiba,-22.96,-44.04,75.2,60,20,6.93,BR,1593565980
115,guozhen,34.37,107.36,84.06,34,100,1.3,CN,1593565980
116,necochea,-38.55,-58.74,46.99,86,66,8.01,AR,1593565909
117,nizhniy kuranakh,58.84,125.49,79.65,38,0,4.12,RU,1593565980
